time,cmd_revolute_1_deg,pos_revolute_1_deg,vel_revolute_1_degps,torque_revolute_1_Nm,cmd_revolute_2_deg,pos_revolute_2_deg,vel_revolute_2_degps,torque_revolute_2_Nm,cmd_revolute_3_deg,pos_revolute_3_deg,vel_revolute_3_degps,torque_revolute_3_Nm,cmd_revolute_4_deg,pos_revolute_4_deg,vel_revolute_4_degps,torque_revolute_4_Nm,cmd_revolute_5_deg,pos_revolute_5_deg,vel_revolute_5_degps,torque_revolute_5_Nm,cmd_revolute_6_deg,pos_revolute_6_deg,vel_revolute_6_degps,torque_revolute_6_Nm
0.2529,-0.022,-0.022,-2.046,-0.011,-0.132,-0.132,1.574,0.033,0.264,0.264,-3.095,-0.007,-0.022,-0.022,1.18,0.015,0.022,0.022,-2.256,-0.007,0.066,0.066,-1.993,-0.048
0.263,-0.022,-0.022,-3.515,-0.022,-0.154,-0.154,-4.223,-0.029,0.264,0.264,-2.02,0.007,-0.022,-0.022,1.18,0.015,0.022,0.022,-2.256,-0.007,0.066,0.066,-1.259,0.015
0.2731,-0.022,-0.022,-3.515,-0.022,-0.154,-0.154,-4.223,-0.029,0.264,0.264,-2.02,0.007,-0.022,-0.022,1.18,0.015,0.022,0.022,-2.256,-0.007,0.066,0.066,-1.259,0.015
0.2833,-0.022,-0.022,-3.515,-0.022,-0.154,-0.154,-4.223,-0.029,0.264,0.264,-2.02,0.007,-0.022,-0.022,1.18,0.015,0.022,0.022,-2.256,-0.007,0.066,0.066,-1.259,0.015
0.2962,-0.022,-0.022,-3.515,-0.022,-0.154,-0.154,-4.223,-0.029,0.264,0.264,-2.02,0.007,-0.022,-0.022,-1.049,0.044,0.022,0.022,-0.787,0.007,0.066,0.066,1.416,0.015
0.3164,-0.022,-0.022,-0.866,-0.015,-0.154,-0.154,-2.833,0.018,0.264,0.264,-2.02,0.007,-0.022,-0.022,-1.049,0.044,0.022,0.022,-0.787,0.007,0.066,0.066,1.416,0.015
0.3265,-0.022,-0.022,-0.866,-0.015,-0.154,-0.154,-2.833,0.018,0.264,0.264,-2.02,0.007,-0.022,-0.022,-1.049,0.044,0.022,0.022,-0.787,0.007,0.066,0.066,1.416,0.015
0.3367,-0.022,-0.022,-0.866,-0.015,-0.154,-0.154,-2.833,0.018,0.264,0.264,3.305,-0.055,-0.022,-0.022,0.262,0.029,0.022,0.022,1.102,0.004,0.066,0.066,1.6,-0.004
0.3468,-0.022,-0.022,-0.236,-0.015,-0.154,-0.154,-2.833,0.018,0.264,0.264,3.305,-0.055,-0.022,-0.022,0.262,0.029,0.022,0.022,1.102,0.004,0.066,0.066,1.6,-0.004
0.357,-0.022,-0.022,1.469,0.026,-0.154,-0.154,0.026,-0.007,0.264,0.264,0.393,0.0,-0.022,-0.022,-0.603,0.055,0.022,0.022,1.154,-0.033,0.066,0.066,-4.511,0.015
0.3671,-0.022,-0.022,1.469,0.026,-0.154,-0.154,0.026,-0.007,0.264,0.264,0.393,0.0,-0.022,-0.022,-0.603,0.055,0.0,0.0,0.656,-0.018,0.066,0.066,-4.511,0.015
0.3773,-0.022,-0.022,-1.311,0.0,-0.154,-0.154,1.154,-0.044,0.264,0.264,0.393,0.0,-0.022,-0.022,-0.603,0.055,0.0,0.0,0.656,-0.018,0.066,0.066,-2.649,0.011
0.3873,-0.022,-0.022,-1.311,0.0,-0.154,-0.154,1.154,-0.044,0.264,0.264,0.0,0.029,-0.022,-0.022,0.236,-0.018,0.0,0.0,0.656,-0.018,0.066,0.066,-2.649,0.011
0.3974,-0.022,-0.022,-1.311,0.0,-0.154,-0.154,1.154,-0.044,0.264,0.264,0.0,0.029,-0.022,-0.022,0.236,-0.018,0.0,0.0,0.656,-0.018,0.066,0.066,-2.649,0.011
0.4076,-0.022,-0.022,-1.311,0.0,-0.154,-0.154,1.154,-0.044,0.264,0.264,0.0,0.029,-0.022,-0.022,0.236,-0.018,0.0,0.0,-2.754,0.004,0.066,0.066,-2.649,0.011
0.4177,-0.022,-0.022,-1.311,0.0,-0.154,-0.154,1.154,-0.044,0.264,0.264,0.0,0.029,-0.022,-0.022,0.236,-0.018,0.0,0.0,-2.754,0.004,0.066,0.066,-2.649,0.011
0.4278,-0.022,-0.022,0.052,-0.018,-0.154,-0.154,-2.177,0.04,0.264,0.264,-0.21,0.015,-0.022,-0.022,0.236,-0.018,0.0,0.0,-2.754,0.004,0.066,0.066,0.026,-0.007
0.4379,-0.022,-0.022,0.052,-0.018,-0.154,-0.154,-2.177,0.04,0.264,0.264,-0.21,0.015,-0.022,-0.022,0.236,-0.018,0.0,0.0,-2.754,0.004,0.066,0.066,0.026,-0.007
0.448,-0.022,-0.022,0.052,-0.018,-0.154,-0.154,-2.177,0.04,0.264,0.264,-0.21,0.015,-0.022,-0.022,0.236,-0.018,0.0,0.0,-2.754,0.004,0.066,0.066,0.026,-0.007
0.4582,-0.022,-0.022,-2.282,0.0,-0.154,-0.154,-2.99,-0.033,0.264,0.264,2.57,0.022,-0.022,-0.022,-1.757,-0.004,0.0,0.0,0.0,-0.011,0.066,0.066,-0.026,-0.029
0.4683,-0.022,-0.022,-2.282,0.0,-0.154,-0.154,-2.99,-0.033,0.264,0.264,2.57,0.022,-0.022,-0.022,-3.384,0.026,0.0,0.0,2.675,0.015,0.066,0.066,-0.157,0.004
0.4784,-0.022,-0.022,1.574,-0.007,-0.154,-0.154,-2.99,-0.033,0.264,0.264,2.57,0.022,-0.022,-0.022,-3.384,0.026,0.0,0.0,2.675,0.015,0.066,0.066,-0.157,0.004
0.4885,-0.022,-0.022,3.147,0.033,-0.154,-0.154,0.367,0.022,0.264,0.264,-0.813,-0.051,-0.022,-0.022,-0.603,-0.011,0.022,0.022,-2.754,0.0,0.066,0.066,-0.026,-0.026
0.4986,-0.022,-0.022,3.147,0.033,-0.154,-0.154,0.367,0.022,0.264,0.264,-0.813,-0.051,-0.022,-0.022,-0.603,-0.011,0.022,0.022,-2.754,0.0,0.066,0.066,-0.026,-0.026
0.5087,-0.022,-0.022,3.147,0.033,-0.154,-0.154,0.367,0.022,0.264,0.264,-1.259,-0.007,-0.022,-0.022,-0.603,-0.011,0.022,0.022,-2.754,0.0,0.066,0.066,-0.026,-0.026
0.5188,-0.022,-0.022,3.147,0.033,-0.154,-0.154,0.367,0.022,0.264,0.264,-1.259,-0.007,-0.022,-0.022,-0.603,-0.011,0.022,0.022,-2.754,0.0,0.066,0.066,-0.026,-0.026
0.529,-0.022,-0.022,3.147,0.033,-0.154,-0.154,0.367,0.022,0.264,0.264,-1.259,-0.007,-0.022,-0.022,0.052,0.0,0.0,0.0,-3.121,-0.004,0.066,0.066,-4.433,-0.037
0.5391,-0.022,-0.022,3.147,0.033,-0.154,-0.154,0.367,0.022,0.264,0.264,-1.259,-0.007,-0.022,-0.022,0.052,0.0,0.0,0.0,-3.121,-0.004,0.066,0.066,-4.433,-0.037
0.5493,-0.022,-0.022,3.147,0.033,-0.154,-0.154,0.367,0.022,0.264,0.264,-1.259,-0.007,-0.022,-0.022,0.052,0.0,0.0,0.0,-3.121,-0.004,0.066,0.066,-4.433,-0.037
0.5594,-0.022,-0.022,3.147,0.033,-0.154,-0.154,0.367,0.022,0.264,0.264,-1.259,-0.007,-0.022,-0.022,0.052,0.0,0.0,0.0,-3.121,-0.004,0.066,0.066,-4.433,-0.037
0.5695,-0.022,-0.022,1.39,0.015,-0.154,-0.154,-3.174,0.007,0.264,0.264,-1.049,-0.011,-0.022,-0.022,4.039,0.022,0.022,0.022,-0.184,0.015,0.066,0.066,-0.656,0.106
0.5799,-0.022,-0.022,1.39,0.015,-0.154,-0.154,-3.174,0.007,0.264,0.264,-1.049,-0.011,-0.022,-0.022,4.039,0.022,0.022,0.022,-0.184,0.015,0.066,0.066,-0.656,0.106
0.59,-0.022,-0.022,-0.603,0.011,-0.154,-0.154,-3.174,0.007,0.264,0.264,-1.049,-0.011,-0.022,-0.022,4.039,0.022,0.022,0.022,-0.446,0.022,0.066,0.066,-1.102,0.004
0.6001,0.0,0.0,1.547,0.011,-0.154,-0.154,-2.938,0.011,0.264,0.264,0.289,-0.015,-0.022,-0.022,0.682,0.018,0.0,0.0,-1.679,-0.007,0.066,0.066,0.472,-0.044
0.6102,0.0,0.0,1.547,0.011,-0.154,-0.154,-2.938,0.011,0.264,0.264,0.289,-0.015,-0.022,-0.022,0.682,0.018,0.0,0.0,-1.679,-0.007,0.066,0.066,0.472,-0.044
0.6203,0.0,0.0,1.547,0.011,-0.154,-0.154,-2.938,0.011,0.264,0.264,-2.518,-0.007,-0.022,-0.022,-5.298,0.015,0.0,0.0,-1.679,-0.007,0.066,0.066,0.472,-0.044
0.6304,0.0,0.0,1.547,0.011,-0.154,-0.154,-2.938,0.011,0.264,0.264,-2.518,-0.007,-0.022,-0.022,-5.298,0.015,0.0,0.0,-1.679,-0.007,0.066,0.066,0.472,-0.044
0.6405,0.0,0.0,1.547,0.011,-0.154,-0.154,-2.938,0.011,0.264,0.264,-2.518,-0.007,-0.022,-0.022,-5.298,0.015,0.022,0.022,-1.443,0.004,0.066,0.066,-3.121,-0.026
0.6506,0.0,0.0,1.547,0.011,-0.154,-0.154,-2.938,0.011,0.264,0.264,-2.518,-0.007,-0.022,-0.022,-5.298,0.015,0.022,0.022,-1.443,0.004,0.066,0.066,-3.121,-0.026
0.6632,0.0,0.0,1.547,0.011,-0.154,-0.154,-2.938,0.011,0.264,0.264,-2.518,-0.007,-0.022,-0.022,-5.298,0.015,0.022,0.022,-1.443,0.004,0.066,0.066,-3.121,-0.026
0.6733,-0.022,-0.022,1.836,-0.007,-0.154,-0.154,-0.918,0.011,0.264,0.264,1.443,0.011,-0.022,-0.022,3.987,-0.04,0.022,0.022,2.308,0.0,0.066,0.066,-0.577,-0.007
0.6935,-0.022,-0.022,1.836,-0.007,-0.154,-0.154,-0.918,0.011,0.264,0.264,1.443,0.011,-0.022,-0.022,3.987,-0.04,0.022,0.022,2.308,0.0,0.066,0.066,-0.577,-0.007
0.7037,-0.022,-0.022,1.075,-0.037,-0.154,-0.154,-0.918,0.011,0.264,0.264,1.443,0.011,-0.022,-0.022,3.987,-0.04,0.022,0.022,2.308,0.0,0.066,0.066,1.207,0.018
0.7138,-0.022,-0.022,1.39,-0.033,-0.154,-0.154,1.049,0.04,0.264,0.264,-3.751,-0.018,-0.022,-0.022,0.813,-0.004,0.022,0.022,-0.708,0.004,0.066,0.066,3.2,-0.007
0.7239,-0.022,-0.022,1.39,-0.033,-0.154,-0.154,1.049,0.04,0.264,0.264,-3.751,-0.018,-0.022,-0.022,0.813,-0.004,0.022,0.022,-0.708,0.004,0.066,0.066,3.2,-0.007
0.734,-0.022,-0.022,1.39,-0.033,-0.154,-0.154,1.049,0.04,0.264,0.264,0.813,0.004,-0.022,-0.022,0.813,-0.004,0.022,0.022,-0.708,0.004,0.066,0.066,3.2,-0.007
0.7449,-0.022,-0.022,1.39,-0.033,-0.154,-0.154,1.049,0.04,0.264,0.264,0.813,0.004,-0.022,-0.022,0.813,-0.004,0.022,0.022,-0.708,0.004,0.066,0.066,3.2,-0.007
0.755,-0.022,-0.022,1.836,0.0,-0.154,-0.154,1.049,0.04,0.264,0.264,0.813,0.004,-0.022,-0.022,0.525,0.018,0.022,0.022,-1.705,0.0,0.066,0.066,1.679,0.004
0.7651,-0.022,-0.022,1.836,0.0,-0.154,-0.154,1.049,0.04,0.264,0.264,0.813,0.004,-0.022,-0.022,0.525,0.018,0.022,0.022,-1.705,0.0,0.066,0.066,1.679,0.004
0.7853,-0.022,-0.022,1.836,0.0,-0.154,-0.154,1.049,0.04,0.264,0.264,0.813,0.004,-0.022,-0.022,0.525,0.018,0.022,0.022,-1.705,0.0,0.066,0.066,1.679,0.004
0.7955,-0.022,-0.022,1.836,0.0,-0.154,-0.154,1.049,0.04,0.264,0.264,0.813,0.004,-0.022,-0.022,0.525,0.018,0.022,0.022,-1.705,0.0,0.066,0.066,1.679,0.004
0.8056,-0.022,-0.022,-1.128,-0.004,-0.154,-0.154,-0.236,0.011,0.264,0.264,3.698,0.007,-0.022,-0.022,3.252,0.011,0.022,0.022,-0.525,-0.029,0.066,0.066,-2.492,0.0
0.8157,-0.022,-0.022,-1.128,-0.004,-0.154,-0.154,-0.236,0.011,0.264,0.264,3.698,0.007,-0.022,-0.022,3.252,0.011,0.022,0.022,2.964,0.055,0.066,0.066,2.361,-0.011
0.826,-0.022,-0.022,2.964,-0.007,-0.154,-0.154,0.839,-0.026,0.264,0.264,3.698,0.007,-0.022,-0.022,3.252,0.011,0.022,0.022,2.964,0.055,0.066,0.066,2.361,-0.011
0.8361,-0.022,-0.022,-1.075,-0.018,-0.132,-0.132,1.311,-0.022,0.264,0.264,0.761,0.004,-0.022,-0.022,2.702,0.004,0.022,0.022,1.731,0.011,0.066,0.066,2.492,0.018
0.8462,-0.022,-0.022,-1.075,-0.018,-0.132,-0.132,1.311,-0.022,0.264,0.264,0.761,0.004,-0.022,-0.022,2.702,0.004,0.022,0.022,1.731,0.011,0.066,0.066,2.492,0.018
0.8563,-0.022,-0.022,-1.075,-0.018,-0.132,-0.132,1.311,-0.022,0.264,0.264,0.761,0.004,-0.022,-0.022,2.702,0.004,0.022,0.022,1.731,0.011,0.066,0.066,2.492,0.018
0.8664,-0.022,-0.022,-1.075,-0.018,-0.132,-0.132,1.311,-0.022,0.264,0.264,2.885,0.04,-0.022,-0.022,-3.069,0.026,0.022,0.022,1.731,0.011,0.066,0.066,2.492,0.018
0.8765,-0.022,-0.022,-1.075,-0.018,-0.132,-0.132,1.311,-0.022,0.264,0.264,2.885,0.04,-0.022,-0.022,-3.069,0.026,0.022,0.022,1.731,0.011,0.066,0.066,2.492,0.018
0.8866,-0.022,-0.022,3.357,-0.018,-0.154,-0.154,4.852,0.0,0.264,0.264,-2.702,-0.004,-0.022,-0.022,0.866,-0.026,0.022,0.022,-1.836,-0.04,0.066,0.066,-3.567,-0.007
0.8967,-0.022,-0.022,3.357,-0.018,-0.154,-0.154,4.852,0.0,0.264,0.264,-2.702,-0.004,-0.022,-0.022,0.866,-0.026,0.022,0.022,2.885,0.0,0.066,0.066,-3.567,-0.007
0.9071,-0.022,-0.022,3.357,-0.018,-0.154,-0.154,4.852,0.0,0.264,0.264,-2.702,-0.004,-0.022,-0.022,0.866,-0.026,0.022,0.022,2.885,0.0,0.066,0.066,-3.567,-0.007
0.9172,-0.022,-0.022,3.357,-0.018,-0.154,-0.154,4.852,0.0,0.264,0.264,-2.702,-0.004,-0.022,-0.022,0.866,-0.026,0.022,0.022,2.885,0.0,0.066,0.066,-3.567,-0.007
0.9273,-0.022,-0.022,0.866,-0.007,-0.154,-0.154,-0.262,0.022,0.264,0.264,-2.098,-0.033,-0.022,-0.022,1.259,0.0,0.022,0.022,0.341,-0.011,0.066,0.066,-1.233,-0.044
0.9374,-0.022,-0.022,0.603,-0.033,-0.154,-0.154,-0.262,0.022,0.264,0.264,-0.079,-0.011,-0.022,-0.022,-1.81,-0.015,0.022,0.022,0.656,0.033,0.066,0.066,1.862,0.015
0.9475,-0.022,-0.022,0.603,-0.033,-0.154,-0.154,-1.757,-0.026,0.264,0.264,0.525,-0.04,-0.022,-0.022,-1.81,-0.015,0.022,0.022,0.656,0.033,0.066,0.066,1.862,0.015
