time,cmd_revolute_1_deg,pos_revolute_1_deg,vel_revolute_1_degps,torque_revolute_1_Nm,cmd_revolute_2_deg,pos_revolute_2_deg,vel_revolute_2_degps,torque_revolute_2_Nm,cmd_revolute_3_deg,pos_revolute_3_deg,vel_revolute_3_degps,torque_revolute_3_Nm,cmd_revolute_4_deg,pos_revolute_4_deg,vel_revolute_4_degps,torque_revolute_4_Nm,cmd_revolute_5_deg,pos_revolute_5_deg,vel_revolute_5_degps,torque_revolute_5_Nm,cmd_revolute_6_deg,pos_revolute_6_deg,vel_revolute_6_degps,torque_revolute_6_Nm
0.0,0.022,0.022,-0.944,-0.018,-0.286,-0.286,1.311,-0.018,-0.879,-0.879,-1.6,-0.037,0.33,0.33,-2.413,-0.029,0.681,0.681,0.131,0.022,0.549,0.549,2.675,-0.007
0.0101,0.022,0.022,0.97,-0.022,-0.264,-0.264,-1.154,0.04,-0.857,-0.857,3.567,0.022,0.33,0.33,-2.334,-0.015,0.681,0.681,0.131,0.022,0.549,0.549,2.675,-0.007
0.0202,0.022,0.022,2.308,0.0,-0.264,-0.264,-3.043,-0.051,-0.879,-0.879,-1.495,0.007,0.33,0.33,-3.724,0.026,0.681,0.681,-0.551,0.018,0.549,0.549,1.233,0.007
0.0304,0.022,0.022,0.734,0.011,-0.242,-0.242,1.364,-0.066,-0.879,-0.879,-1.495,0.007,0.33,0.33,-3.724,0.026,0.703,0.703,0.813,-0.018,0.549,0.549,-3.147,-0.007
0.0405,0.022,0.022,0.734,0.011,-0.242,-0.242,1.364,-0.066,-0.879,-0.879,-1.495,0.007,0.33,0.33,-3.724,0.026,0.703,0.703,0.813,-0.018,0.549,0.549,-3.147,-0.007
0.0506,0.022,0.022,3.2,0.022,-0.198,-0.198,3.436,0.037,-0.857,-0.857,-0.105,-0.004,0.33,0.33,-2.518,-0.022,0.703,0.703,-3.147,0.048,0.549,0.549,0.944,0.059
0.0612,0.022,0.022,3.2,0.022,-0.198,-0.198,3.436,0.037,-0.857,-0.857,-0.105,-0.004,0.33,0.33,-2.518,-0.022,0.703,0.703,-3.147,0.048,0.549,0.549,0.944,0.059
0.0713,0.022,0.022,3.2,0.022,-0.198,-0.198,3.436,0.037,-0.879,-0.879,0.97,-0.04,0.33,0.33,-2.518,-0.022,0.703,0.703,-3.147,0.048,0.549,0.549,0.944,0.059
0.0814,0.022,0.022,3.2,0.022,-0.198,-0.198,3.436,0.037,-0.879,-0.879,0.97,-0.04,0.33,0.33,-2.518,-0.022,0.703,0.703,-3.147,0.048,0.549,0.549,0.944,0.059
0.0915,0.022,0.022,3.2,0.022,-0.198,-0.198,3.436,0.037,-0.879,-0.879,0.97,-0.04,0.374,0.374,-3.095,-0.018,0.725,0.725,-0.498,0.055,0.549,0.549,-2.675,0.004
0.1016,0.022,0.022,3.2,0.022,-0.198,-0.198,3.436,0.037,-0.879,-0.879,0.97,-0.04,0.374,0.374,-3.095,-0.018,0.725,0.725,-0.498,0.055,0.549,0.549,-2.675,0.004
0.1117,0.022,0.022,2.256,0.011,-0.11,-0.11,1.521,0.037,-0.879,-0.879,-1.81,-0.029,0.417,0.417,3.069,0.07,0.725,0.725,-0.498,0.055,0.549,0.549,-2.675,0.004
0.1219,0.022,0.022,2.256,0.011,-0.11,-0.11,1.521,0.037,-0.879,-0.879,-1.81,-0.029,0.417,0.417,3.069,0.07,0.725,0.725,-0.498,0.055,0.549,0.549,-2.675,0.004
0.132,0.022,0.022,-0.026,-0.015,-0.11,-0.11,0.367,0.073,-0.879,-0.879,-6.741,0.004,0.417,0.417,1.941,0.022,0.725,0.725,0.551,-0.004,0.527,0.527,0.944,-0.04
0.1426,0.022,0.022,-0.787,0.026,-0.11,-0.11,0.262,-0.033,-0.879,-0.879,0.026,-0.011,0.439,0.439,0.944,-0.011,0.725,0.725,-1.81,0.011,0.549,0.549,1.574,-0.029
0.1527,0.022,0.022,-0.787,0.026,-0.11,-0.11,0.262,-0.033,-0.879,-0.879,0.026,-0.011,0.439,0.439,0.944,-0.011,0.725,0.725,-1.81,0.011,0.549,0.549,1.574,-0.029
0.1628,0.022,0.022,-0.787,0.026,-0.11,-0.11,0.262,-0.033,-0.879,-0.879,0.026,-0.011,0.439,0.439,0.944,-0.011,0.725,0.725,-1.81,0.011,0.549,0.549,1.574,-0.029
0.1729,0.022,0.022,-0.787,0.026,-0.11,-0.11,0.262,-0.033,-0.879,-0.879,0.026,-0.011,0.439,0.439,0.944,-0.011,0.725,0.725,-1.81,0.011,0.549,0.549,1.574,-0.029
0.183,0.022,0.022,-0.787,0.026,-0.11,-0.11,0.262,-0.033,-0.879,-0.879,-2.544,0.029,0.439,0.439,3.672,0.015,0.725,0.725,4.223,0.029,0.549,0.549,1.574,-0.029
0.1931,0.022,0.022,-0.787,0.026,-0.11,-0.11,0.262,-0.033,-0.879,-0.879,-2.544,0.029,0.439,0.439,3.672,0.015,0.725,0.725,4.223,0.029,0.549,0.549,1.574,-0.029
0.2032,0.022,0.022,2.282,-0.011,0.066,0.066,5.718,0.018,-0.879,-0.879,-2.544,0.029,0.439,0.439,3.672,0.015,0.725,0.725,4.223,0.029,0.549,0.549,-4.826,-0.044
0.2133,0.022,0.022,2.282,-0.011,0.066,0.066,5.718,0.018,-0.879,-0.879,-2.544,0.029,0.439,0.439,3.672,0.015,0.725,0.725,4.223,0.029,0.549,0.549,-4.826,-0.044
0.2234,0.022,0.022,1.521,0.022,0.132,0.132,1.705,-0.044,-0.879,-0.879,3.567,0.033,0.439,0.439,6.872,-0.037,0.703,0.703,-3.829,-0.106,0.549,0.549,0.918,0.015
0.2335,0.022,0.022,1.521,0.022,0.132,0.132,1.705,-0.044,-0.879,-0.879,-5.77,-0.033,0.439,0.439,6.872,-0.037,0.703,0.703,-3.829,-0.106,0.549,0.549,0.918,0.015
0.2436,0.022,0.022,2.833,-0.018,0.154,0.154,-0.131,-0.121,-0.879,-0.879,3.62,-0.004,0.439,0.439,-0.105,0.033,0.681,0.681,-2.859,0.011,0.549,0.549,0.813,0.037
0.2538,0.022,0.022,2.833,-0.018,0.242,0.242,4.302,-0.073,-0.879,-0.879,3.62,-0.004,0.439,0.439,-0.105,0.033,0.681,0.681,-2.859,0.011,0.549,0.549,0.813,0.037
0.2639,0.022,0.022,2.833,-0.018,0.242,0.242,4.302,-0.073,-0.879,-0.879,1.652,-0.018,0.439,0.439,-1.311,0.0,0.681,0.681,-2.859,0.011,0.549,0.549,0.813,0.037
0.274,0.022,0.022,2.833,-0.018,0.242,0.242,4.302,-0.073,-0.879,-0.879,1.652,-0.018,0.439,0.439,-1.311,0.0,0.681,0.681,-2.859,0.011,0.549,0.549,0.813,0.037
0.2841,0.022,0.022,2.833,-0.018,0.242,0.242,4.302,-0.073,-0.879,-0.879,1.652,-0.018,0.439,0.439,-1.311,0.0,0.571,0.571,-3.934,-0.117,0.549,0.549,0.813,0.037
0.2941,0.022,0.022,0.157,0.011,0.22,0.22,-2.492,0.143,-0.879,-0.879,4.38,-0.011,0.439,0.439,1.075,-0.007,0.571,0.571,-3.934,-0.117,0.549,0.549,1.233,0.048
0.3042,0.022,0.022,0.157,0.011,0.22,0.22,-2.492,0.143,-0.879,-0.879,4.38,-0.011,0.439,0.439,1.075,-0.007,0.505,0.505,-5.823,-0.227,0.549,0.549,1.233,0.048
0.3143,0.022,0.022,-3.384,0.011,0.22,0.22,-2.492,0.143,-0.879,-0.879,4.38,-0.011,0.439,0.439,1.075,-0.007,0.505,0.505,-5.823,-0.227,0.571,0.571,0.0,0.026
